Galaxy,RA,DEC,Distance,Distance_u,Distance_d,v_los,v_los_u,v_los_d,mu_alpha,mu_alpha_u,mu_alpha_d,mu_delta,mu_delta_u,mu_delta_d,X,Y,Z,v_X,v_Y,v_Z
AntliaII,143.8867,-36.7673,20.6,-0.11,0.11,290.7,-0.5,0.5,-0.1,-0.01,0.01,0.09,-0.01,0.01,-19.70379219206384,-128.78090543036149,25.712826550806575,-98.12047845169124,-28.85288309933303,62.255417775548594
AquariusII,338.4813,-9.3274,20.16,-0.07,0.07,-71.1,-2.5,2.5,-0.03,-0.19,0.23,-0.47,-0.16,0.15,28.85072579071038,53.12710277561924,-85.97981292490488,103.31424952900176,15.473002675982807,-7.581493999926988
BootesI,210.0225,14.5006,19.11,-0.08,0.08,101.8,-0.7,0.7,-0.39,-0.02,0.02,-1.06,-0.01,0.01,14.894604354988179,-0.7749000161256685,62.22208140778564,153.6831591523159,-89.1285155786075,58.735959443653954
BootesII,209.51792,12.8525,18.1,-0.06,0.06,-117.0,-5.2,5.2,-2.46,-0.07,0.07,-0.45,-0.06,0.05,6.744221133353118,-1.6411751073600191,38.88158468650423,-335.8891703938486,-122.85234417945964,-0.4676091054517574
BootesIII,209.3,26.8,18.35,-0.1,0.1,197.5,-3.8,3.8,-1.16,-0.02,0.02,-0.88,-0.01,0.01,1.4397662796053012,6.851917833857158,45.253593802284996,-11.22118086190044,-33.890951670883254,258.8484122449878
CanesVenaticiI,202.0091,33.5521,21.62,-0.05,0.05,30.9,-0.6,0.6,-0.1,-0.03,0.03,-0.12,-0.02,0.02,1.873246833018083,35.84762763921552,207.54904007918728,7.026178413954813,99.52881935842794,64.52999182873774
CanesVenaticiII,194.2927,34.3226,21.02,-0.06,0.06,-128.9,-1.2,1.2,-0.12,-0.11,0.1,-0.29,-0.08,0.08,-16.327528065235878,18.625171591701516,158.65971492406288,62.9637370277734,1.258776258025715,-91.0259590142413
Carina,100.4065,-50.9593,20.12,-0.12,0.12,222.9,-0.1,0.1,0.53,-0.01,0.01,0.13,-0.01,0.01,-25.010487413322952,-96.37895471117804,-39.96419747114677,-31.036722918463994,-58.986014474601845,175.88055793620103
CarinaII,114.1067,-57.9991,17.79,-0.05,0.05,477.2,-1.2,1.2,1.88,-0.01,0.01,0.13,-0.02,0.01,-8.21107369567108,-34.5359003350123,-10.650932051008564,121.54527026177678,-297.4209738734328,156.47958323888417
CarinaIII,114.6298,-57.8997,17.22,-0.1,0.1,284.6,-3.1,3.4,3.1,-0.04,0.03,1.39,-0.04,0.04,-8.197227842694144,-26.604288998839735,-8.055580939762278,13.361157745789052,-154.12119376169915,353.28262467892
ColumbaI,82.85696,-28.04253,21.31,-0.11,0.11,153.7,-4.8,5.0,0.17,-0.07,0.07,-0.41,-0.08,0.08,-107.55178142880601,-125.50027675024116,-88.30859564700927,217.12388868855547,-108.67904043537882,-35.88217886679167
ComaBerenices,186.7458,23.9069,18.13,-0.08,0.08,98.1,-0.9,0.9,0.43,-0.02,0.02,-1.72,-0.02,0.02,-10.417346120966824,-4.146674751892684,42.004476422565915,254.40668381796263,-15.140975544296403,92.88459094891795
CraterI,174.066,-10.8778,20.81,-0.05,0.05,149.3,-1.2,1.2,-0.04,-0.12,0.12,-0.12,-0.1,0.1,-0.034739963716544864,-97.11148427564703,107.65207684784122,35.12348014965292,85.16090198005445,59.96508200647085
CraterII,177.328,-18.418,20.33,-0.07,0.07,87.5,-0.4,0.4,-0.07,-0.02,0.02,-0.11,-0.01,0.01,11.152475149009145,-84.27956577614793,77.93799215851845,19.339128499334183,135.21960024790752,13.967311368124621
Draco,260.0684,57.9185,19.53,-0.07,0.07,-292.3,-0.4,0.4,0.04,-0.01,0.01,-0.19,-0.01,0.01,-4.009706164527767,66.07077646439906,45.86325621285755,69.36874314042885,9.723641168584223,-168.06238470259794
DracoII,238.174,64.579,16.67,-0.05,0.05,-342.5,-1.2,1.1,1.12,-0.09,0.09,0.91,-0.1,0.1,-10.487225963615264,15.644664414446993,14.683295484109152,10.576613108283853,94.61894168498095,-332.65418830672184
EridanusII,56.08375,-43.5338,22.8,-0.1,0.1,75.6,-3.3,3.3,0.15,-0.11,0.11,0.03,-0.13,0.14,-86.04967538000393,-211.40149660247278,-284.7358585305049,-164.25640917738409,58.67915543156824,99.37713997535226
Fornax,39.96667,-34.51361,20.72,-0.04,0.04,54.1,-0.5,0.5,0.381,-0.001,0.001,-0.358,-0.002,0.002,-39.240765683475686,-48.292437555240916,-126.93766232558602,14.427897637155429,-94.37691287609113,77.3409370336793
GrusI,344.166,-50.168,20.51,-0.1,0.1,-140.5,-1.6,2.4,0.07,-0.05,0.05,-0.27,-0.07,0.08,53.82094792954433,-24.206465309365164,-107.53152719688288,-66.68787493283186,110.95564953556466,158.59171672209823
GrusII,331.025,-46.442,18.7,-0.08,0.08,-110.0,-0.5,0.5,0.39,-0.04,0.03,-1.51,-0.04,0.04,25.273058585900156,-5.218609228185812,-43.269760653722244,-112.11532313971547,-143.90371140479888,99.02908407830687
Hercules,247.7722,12.7852,20.68,-0.17,0.17,45.0,-1.1,1.1,-0.04,-0.05,0.04,-0.34,-0.04,0.04,87.76749811788599,52.600747607261454,82.0379306163237,179.7931018253045,99.46332215142803,-19.89146677467539
HorologiumI,43.8813,-54.116,19.5,-0.2,0.2,112.8,-2.6,2.5,0.85,-0.03,0.04,-0.6,-0.04,0.04,-7.092095557472788,-45.84774745476536,-64.85622596075282,5.386378584771856,-137.02204490376758,141.22934150573474
HorologiumII,49.1077,-50.0486,19.46,-0.2,0.2,168.7,-12.6,12.9,0.98,-0.19,0.18,-0.84,-0.23,0.21,-14.138170653117768,-45.29626686499981,-63.20076225945666,68.23758578305797,-236.70837275173903,141.1569185677358
HydraII,185.4251,-31.986,20.89,-0.12,0.12,303.1,-1.4,1.4,-0.37,-0.14,0.14,-0.03,-0.1,0.1,47.94656752840105,-117.09812731444248,76.3821972259737,-97.21377430230352,-125.4144932346762,112.23223007088325
HydrusI,37.3892,-79.3089,17.2,-0.04,0.04,80.4,-0.6,0.6,3.79,-0.01,0.01,-1.5,-0.01,0.01,1.9619048348955488,-19.590690022212936,-16.477807184491365,-158.21180009117478,-183.255151178426,281.28499385989187
LeoI,152.1146,12.3059,22.15,-0.1,0.1,282.9,-0.5,0.5,-0.06,-0.01,0.01,-0.12,-0.01,0.01,-130.62631452252265,-126.70819053048558,203.47095117589006,-118.11568495657285,-30.370820447910305,130.48465631833454
LeoII,168.3627,22.1529,21.68,-0.11,0.11,78.3,-0.6,0.6,-0.11,-0.03,0.03,-0.14,-0.03,0.03,-72.3306173093297,-54.11941612517206,199.86936629287737,-52.29002366703552,59.8185108038813,20.959034314390173
LeoIV,173.2405,-0.5453,20.94,-0.07,0.07,131.4,-1.1,1.2,-0.03,-0.14,0.14,-0.28,-0.12,0.11,-14.938142485809049,-84.81170989042518,128.5689471355822,85.19738928203932,15.5104779972064,15.389532218485948
LeoV,172.7857,2.2194,21.25,-0.08,0.08,173.0,-0.8,1.0,0.1,-0.21,0.21,-0.41,-0.15,0.15,-21.34914267457274,-91.88790725652211,151.67890146168753,238.19620778435595,-74.71329099400016,34.31905243349344
LeoT,143.7292,17.0482,23.06,-0.15,0.15,38.1,-2.0,2.0,0.23,-0.37,0.36,-0.12,-0.22,0.22,-251.1263086877629,-169.21401568388245,282.573376392958,392.5380316408455,50.423149221194876,272.1716783412694
PegasusIII,336.102,5.405,21.66,-0.12,0.12,-222.9,-2.6,2.6,2.13,-4.53,5.28,1.81,-4.22,5.37,46.94409209913276,150.24210881933237,-143.24173728393606,-2766.6782265964343,904.9755971062112,-38.72013109961071
Phoenix,27.77625,-44.44472,23.06,-0.12,0.12,-21.2,-1.0,1.0,0.08,-0.03,0.03,-0.06,-0.04,0.04,-2.661274370540763,-146.89867485647602,-381.9481502068792,-27.917185748852393,77.9703879086491,94.84564999623996
PhoenixII,354.99279,-54.40495,19.6,-0.2,0.2,32.4,-3.8,3.7,0.5,-0.05,0.05,-1.2,-0.06,0.06,25.568432248711954,-24.812339783562642,-71.84949886476973,-23.379642707747262,-250.56386451398794,125.8070862118156
PiscesII,344.6345,5.9526,21.31,-0.17,0.17,-226.5,-2.7,2.7,2.64,-5.08,4.93,2.5,-5.09,5.0,15.087794659011,122.22299104363137,-133.93551837686485,-3060.6686179921003,890.878113681892,369.0305430040588
ReticulumII,53.94929,-54.04661,17.5,-0.1,0.1,64.7,-0.8,1.3,2.37,-0.02,0.02,-1.35,-0.02,0.02,-9.525318671578551,-20.400051380815814,-24.12636388017971,19.895206105539273,-106.14906371796667,221.45893804415647
ReticulumIII,56.36,-60.45,19.81,-0.31,0.31,274.2,-7.4,7.5,0.31,-0.14,0.14,-0.61,-0.3,0.22,-3.8679100388813374,-63.90324573039317,-65.51494521774194,202.79157932952458,-107.14887941964065,-17.072169525148453
SagittariusII,298.16471,-22.06505,19.2,-0.2,0.2,-177.2,-0.6,0.5,-0.77,-0.04,0.04,-0.91,-0.02,0.02,52.084264001695274,20.683514526452754,-26.912834555919694,23.315846424418734,-138.67640234984358,193.22874513091432
