# Table B.1 and Table B.2 from battaglia2022gaia_Astron. Astrophys. - Gaia early DR3 systemic motions of local group dwarf galaxies and orbital properties with a massive Large Magellanic Cloud
# See MW_satellites.csv for the results of (X,Y,Z) and (v_x, v_y, v_z)
Galaxy            RA           DEC         Distance  Distance_u  Distance_d   v_los    v_los_u  v_los_d     mu_alpha mu_alpha_u mu_alpha_d   mu_delta mu_delta_u mu_delta_d
AntliaII          143.88670    -36.76730   20.60     -0.11       +0.11        290.70   -0.50    +0.50       -0.10    -0.01      +0.01        0.09     -0.01      +0.01            
AquariusII        338.48130    -9.32740    20.16     -0.07       +0.07        -71.10   -2.50    +2.50       -0.03    -0.19      +0.23        -0.47    -0.16      +0.15           
BootesI           210.02250    14.50060    19.11     -0.08       +0.08        101.80   -0.70    +0.70       -0.39    -0.02      +0.02        -1.06    -0.01      +0.01           
BootesII          209.51792    12.85250    18.10     -0.06       +0.06        -117.00  -5.20    +5.20       -2.46    -0.07      +0.07        -0.45    -0.06      +0.05           
BootesIII         209.30000    26.80000    18.35     -0.10       +0.10        197.50   -3.80    +3.80       -1.16    -0.02      +0.02        -0.88    -0.01      +0.01           
CanesVenaticiI    202.00910    33.55210    21.62     -0.05       +0.05        30.90    -0.60    +0.60       -0.10    -0.03      +0.03        -0.12    -0.02      +0.02           
CanesVenaticiII   194.29270    34.32260    21.02     -0.06       +0.06        -128.90  -1.20    +1.20       -0.12    -0.11      +0.10        -0.29    -0.08      +0.08           
Carina            100.40650    -50.95930   20.12     -0.12       +0.12        222.90   -0.10    +0.10       0.53     -0.01      +0.01        0.13     -0.01      +0.01            
CarinaII          114.10670    -57.99910   17.79     -0.05       +0.05        477.20   -1.20    +1.20       1.88     -0.01      +0.01        0.13     -0.02      +0.01            
CarinaIII         114.62980    -57.89970   17.22     -0.10       +0.10        284.60   -3.10    +3.40       3.10     -0.04      +0.03        1.39     -0.04      +0.04            
ColumbaI          82.85696     -28.04253   21.31     -0.11       +0.11        153.70   -4.80    +5.00       0.17     -0.07      +0.07        -0.41    -0.08      +0.08           
ComaBerenices     186.74580    23.90690    18.13     -0.08       +0.08        98.10    -0.90    +0.90       0.43     -0.02      +0.02        -1.72    -0.02      +0.02           
CraterI           174.06600    -10.87780   20.81     -0.05       +0.05        149.30   -1.20    +1.20       -0.04    -0.12      +0.12        -0.12    -0.10      +0.10           
CraterII          177.32800    -18.41800   20.33     -0.07       +0.07        87.50    -0.40    +0.40       -0.07    -0.02      +0.02        -0.11    -0.01      +0.01           
