#R[kpc]	Baryon[km/s]	CDM[km/s]	QUMOND[km/s]	MOG[km/s]
0.000000	0.000000	0.000000	0.000000	0.000000
0.060000	17.388841	18.694500	19.124559	17.465441
0.120000	31.958759	34.327659	34.615627	32.097408
0.180000	46.799874	50.199372	50.126235	46.998107
0.240000	62.213398	66.603121	66.037020	62.467984
0.300000	78.635980	83.961646	82.786660	78.942064
0.360000	92.846960	99.035376	97.294208	93.188038
0.420000	103.882723	110.815464	108.603528	104.310831
0.480000	110.970426	118.577421	116.027151	111.487349
0.540000	117.070354	125.312974	122.440043	117.682101
0.600000	122.434915	131.287668	128.121493	123.147038
0.660000	127.221938	136.664985	133.224270	128.039651
0.720000	131.539547	141.556259	137.856097	132.467777
0.780000	135.466115	146.042081	142.095276	136.509535
0.840000	139.060386	150.182897	146.000645	140.223446
0.900000	142.367518	154.025250	149.617542	143.654471
0.960000	145.423002	157.605787	152.981669	146.837923
1.020000	148.255277	160.953940	156.121687	149.802087
1.080000	150.887554	164.093773	159.061011	152.570032
1.140000	153.339095	167.045294	161.819089	155.160896
1.200000	155.626138	169.825391	164.412324	157.590800
1.260000	157.762568	172.448521	166.854759	159.873529
1.320000	159.760427	174.927225	169.158574	162.021030
1.380000	161.630287	177.272514	171.334467	164.043786
1.440000	163.381534	179.494156	173.391936	165.951102
1.500000	165.022593	181.600907	175.339496	167.751325
1.560000	166.561092	183.600683	177.184854	169.452007
1.620000	168.003994	185.500693	178.935045	171.060048
1.680000	169.357700	187.307546	180.596528	172.581771
1.740000	170.628125	189.027335	182.175274	174.023027
1.800000	171.820763	190.665700	183.676821	175.389242
1.860000	172.940734	192.227882	185.106329	176.685471
1.920000	173.992827	193.718763	186.468612	177.916433
1.980000	174.981522	195.142902	187.768176	179.086543
2.040000	175.911023	196.504560	189.009240	180.199940
2.100000	176.785275	197.807722	190.195760	181.260498
2.160000	177.607979	199.056120	191.331447	182.271853
2.220000	178.382609	200.253244	192.419778	183.237409
2.280000	179.112421	201.402359	193.464010	184.160356
2.340000	179.800466	202.506516	194.467191	185.043673
2.400000	180.449597	203.568562	195.432165	185.890147
2.460000	181.062478	204.591155	196.361586	186.702373
2.520000	181.641595	205.576766	197.257926	187.482768
2.580000	182.189258	206.527694	198.123478	188.233575
2.640000	182.707613	207.446072	198.960369	188.956874
2.700000	183.198648	208.333874	199.770568	189.654587
2.760000	183.664199	209.192927	200.555888	190.328484
2.820000	184.105960	210.024913	201.317999	190.980196
2.880000	184.525482	210.831382	202.058431	191.611215
2.940000	184.924200	211.613758	202.778582	192.222907
3.000000	185.303406	212.373343	203.479725	192.816515
3.060000	185.664290	213.111331	204.163018	193.393170
3.120000	186.007928	213.828807	204.829505	193.953892
3.180000	186.335294	214.526760	205.480131	194.499604
3.240000	186.647266	215.206087	206.115741	195.031133
3.300000	186.944632	215.867600	206.737092	195.549221
3.360000	187.228097	216.512033	207.344858	196.054529
3.420000	187.498290	217.140049	207.939636	196.547640
3.480000	187.755769	217.752240	208.521952	197.029074
3.540000	188.001026	218.349142	209.092267	197.499286
3.600000	188.234494	218.931232	209.650982	197.958672
3.660000	188.456554	219.498939	210.198445	198.407581
3.720000	188.667536	220.052644	210.734956	198.846312
3.780000	188.867726	220.592690	211.260771	199.275123
3.840000	189.057373	221.119381	211.776108	199.694237
3.900000	189.236690	221.632990	212.281149	200.103843
3.960000	189.405858	222.133760	212.776047	200.504099
4.020000	189.565034	222.621908	213.260931	200.895143
4.080000	189.714348	223.097633	213.735904	201.277086
4.140000	189.853914	223.561109	214.201051	201.650026
4.200000	189.983825	224.012500	214.656441	202.014042
4.260000	190.104165	224.451953	215.102129	202.369202
4.320000	190.215001	224.879602	215.538160	202.715563
4.380000	190.316395	225.295576	215.964567	203.053175
4.440000	190.408400	225.699993	216.381382	203.382081
4.500000	190.491063	226.092967	216.788629	203.702321
4.560000	190.564430	226.474608	217.186328	204.013932
4.620000	190.628543	226.845021	217.574500	204.316949
4.680000	190.683444	227.204311	217.953166	204.611409
4.740000	190.729174	227.552582	218.322345	204.897347
4.800000	190.765778	227.889938	218.682062	205.174802
4.860000	190.793301	228.216482	219.032341	205.443816
4.920000	190.811793	228.532322	219.373212	205.704433
4.980000	190.821305	228.837563	219.704708	205.956703
5.040000	190.821893	229.132317	220.026864	206.200677
5.100000	190.813618	229.416695	220.339724	206.436413
5.160000	190.796545	229.690813	220.643334	206.663974
5.220000	190.770744	229.954790	220.937745	206.883425
5.280000	190.736289	230.208744	221.223014	207.094838
5.340000	190.693260	230.452803	221.499204	207.298291
5.400000	190.641742	230.687091	221.766383	207.493864
5.460000	190.581823	230.911740	222.024621	207.681644
5.520000	190.513598	231.126882	222.273998	207.861721
5.580000	190.437165	231.332654	222.514595	208.034192
5.640000	190.352628	231.529194	222.746500	208.199155
5.700000	190.260093	231.716643	222.969805	208.356714
5.760000	190.159671	231.895144	223.184604	208.506976
5.820000	190.051479	232.064843	223.390997	208.650054
5.880000	189.935634	232.225886	223.589089	208.786060
5.940000	189.812257	232.378423	223.778985	208.915112
6.000000	189.681474	232.522604	223.960796	209.037330
6.060000	189.543413	232.658580	224.134635	209.152837
6.120000	189.398202	232.786505	224.300618	209.261758
6.180000	189.245975	232.906533	224.458863	209.364219
6.240000	189.086866	233.018816	224.609491	209.460348
6.300000	188.921010	233.123510	224.752623	209.550277
6.360000	188.748544	233.220770	224.888384	209.634136
6.420000	188.569608	233.310750	225.016900	209.712056
6.480000	188.384341	233.393606	225.138298	209.784172
6.540000	188.192883	233.469491	225.252704	209.850617
6.600000	187.995375	233.538559	225.360249	209.911524
6.660000	187.791959	233.600965	225.461060	209.967026
6.720000	187.582775	233.656859	225.555268	210.017260
6.780000	187.367965	233.706395	225.643002	210.062356
6.840000	187.147671	233.749722	225.724392	210.102450
6.900000	186.922033	233.786990	225.799568	210.137673
6.960000	186.691191	233.818347	225.868660	210.168157
7.020000	186.455286	233.843939	225.931795	210.194034
7.080000	186.214455	233.863913	225.989104	210.215433
7.140000	185.968838	233.878410	226.040713	210.232485
7.200000	185.718571	233.887574	226.086751	210.245316
7.260000	185.463789	233.891544	226.127342	210.254052
7.320000	185.204628	233.890459	226.162614	210.258820
7.380000	184.941220	233.884455	226.192689	210.259743
7.440000	184.673697	233.873667	226.217692	210.256943
7.500000	184.402191	233.858228	226.237743	210.250540
7.560000	184.126829	233.838268	226.252965	210.240654
7.620000	183.847738	233.813915	226.263475	210.227401
7.680000	183.565045	233.785297	226.269392	210.210896
7.740000	183.278872	233.752538	226.270832	210.191254
7.800000	182.989342	233.715759	226.267911	210.168585
7.860000	182.696575	233.675081	226.260741	210.143000
7.920000	182.400690	233.630622	226.249434	210.114605
7.980000	182.101802	233.582499	226.234100	210.083508
8.040000	181.800026	233.530823	226.214849	210.049811
8.100000	181.495476	233.475707	226.191786	210.013617
8.160000	181.188261	233.417261	226.165018	209.975025
8.220000	180.878490	233.355590	226.134648	209.934133
8.280000	180.566270	233.290801	226.100777	209.891038
8.340000	180.251706	233.222996	226.063506	209.845832
8.400000	179.934900	233.152275	226.022935	209.798607
8.460000	179.615955	233.078738	225.979157	209.749454
8.520000	179.294967	233.002479	225.932271	209.698460
8.580000	178.972034	232.923595	225.882367	209.645711
8.640000	178.647252	232.842177	225.829539	209.591291
8.700000	178.320713	232.758315	225.773875	209.535281
8.760000	177.992508	232.672097	225.715465	209.477762
8.820000	177.662726	232.583609	225.654394	209.418811
8.880000	177.331454	232.492935	225.590747	209.358504
8.940000	176.998774	232.400158	225.524608	209.296915
9.000000	176.664781	232.305357	225.456058	209.234117
9.060000	176.329544	232.208611	225.385177	209.170181
9.120000	175.993147	232.109996	225.312042	209.105173
9.180000	175.655667	232.009586	225.236731	209.039162
9.240000	175.317182	231.907455	225.159318	208.972212
9.300000	174.977764	231.803672	225.079877	208.904387
9.360000	174.637487	231.698307	224.998480	208.835747
9.420000	174.296420	231.591427	224.915196	208.766352
9.480000	173.954633	231.483098	224.830096	208.696261
9.540000	173.612193	231.373383	224.743245	208.625529
9.600000	173.269166	231.262344	224.654710	208.554212
9.660000	172.925614	231.150042	224.564555	208.482362
9.720000	172.581601	231.036536	224.472843	208.410031
9.780000	172.237187	230.921883	224.379634	208.337269
