# Galaxy     Dist  errD  M  Inc  erI  L[3.6]    errL  Reff    SBeff  Rexp    SBexp     Aobs1 eAobs1 Aobs2 eAobs2 Abar1 eAbar1 Abar2 eAbar2
# #Name       Mpc   Mpc   -  Deg  Deg   10^9L   10^9L   kpc   L/pc^2   kpc   L/pc^2   log10(m/s^2)
    NGC2685  16.10  4.80  1 65.0  4.0  30.037   0.277  1.92  1284.78  3.19   413.84 -8.56  0.16 -10.57  0.14 -8.44  0.11 -11.25  0.11
    NGC2824  39.60  9.90  1 65.0  8.0  39.572   0.729  1.09  5209.91  5.00    84.11 -8.17  0.14 -9.96  0.12 -8.43  0.11 -10.13  0.11
    NGC2859  26.20  6.50  1 35.0  5.0  89.085   0.820  1.59  5608.28  2.51   603.71 -8.44  0.14 -9.99  0.20 -8.44  0.11 -10.31  0.11
    NGC2974  22.10  2.80  2 60.0  2.0 116.946   1.077  3.02  2017.58  3.44  1530.49 -8.36  0.10 -9.59  0.06 -8.52  0.11 -10.01  0.11
    NGC3522  25.20  3.20  2 41.0  2.0  13.183   0.243  1.42  1039.51  2.47   254.00 -8.43  0.10 -10.34  0.08 -8.73  0.11 -10.85  0.11
    NGC3626  22.90  2.50  2 54.0  1.0  74.623   0.687  2.43  2017.58  2.52  1891.60 -8.26  0.10 -10.16  0.06 -8.09  0.11 -10.29  0.11
    NGC3838  23.10  5.80  1 66.0  8.0  22.492   0.207  1.03  3410.59  1.99   417.67 -8.36  0.14 -10.31  0.13 -8.44  0.11 -11.04  0.11
    NGC3941  12.40  1.60  2 57.0  1.0  43.656   0.402  1.42  3474.00  1.30  4373.51 -8.28  0.10 -10.22  0.07 -8.12  0.11 -10.43  0.11
    NGC3945  22.80  5.70  1 57.0  5.0 126.319   1.163  2.50  3197.64  7.22   209.33 -8.42  0.14 -9.90  0.12 -8.52  0.11 -10.14  0.11
    NGC3998  14.20  1.80  2 66.0  2.0  56.205   0.518  1.01  8807.04  1.46  2997.99 -7.91  0.10 -9.84  0.09 -8.17  0.11 -10.44  0.11
    NGC4203  15.30  2.00  2 30.0  3.0  61.685   0.568  1.85  2093.29  1.85  2132.21 -8.46  0.10 -10.06  0.16 -8.29  0.11 -10.45  0.11
    NGC4262  16.60  1.80  2 67.0  8.0  28.988   0.267  0.69  9480.47  2.90    43.74 -7.85  0.10 -9.88  0.06 -8.17  0.11 -10.45  0.11
    NGC4278  15.40  2.00  2 45.0  5.0  82.612   0.000  1.63  4884.61  2.57   992.73 -8.30  0.10 -9.72  0.10 -8.48  0.11 -10.10  0.11
    NGC5582  28.10  3.60  2 50.0  2.0  55.235   0.509  3.07   930.74  3.86   686.80 -8.49  0.10 -10.12  0.07 -8.68  0.11 -11.09  0.11
    NGC6798  37.30  9.30  1 52.0  2.0  69.090   0.636  3.30   992.73  3.29   974.61 -8.75  0.14 -10.37  0.11 -9.29  0.11 -10.95  0.11
    UGC6176  39.30  9.80  1 47.0  6.0  28.972   0.534  1.18  3317.65  1.80  1049.13 -8.08  0.14 -10.23  0.14 -8.61  0.11 -10.57  0.11
