# https://www.aanda.org/articles/aa/full_html/2018/07/aa32547-17/T2.html
ID	Galaxy	log_L	LMR_disk	LMR_bulge	D	D_D0	Inc	i_i0	chi2
001	UGC02487	11.69	1.83 ± 0.20	0.91 ± 0.18	63.7 ± 9.4	0.92	31.2 ± 2.8	0.87	4.482
002	UGC02885	11.61	0.45 ± 0.06	0.97 ± 0.08	82.7 ± 5.5	1.03	64.7 ± 3.4	1.01	0.858
003	NGC6195	11.59	0.32 ± 0.06	0.85 ± 0.07	115 ± 11	0.90	57.0 ± 4.2	0.92	2.258
004	UGC11455	11.57	0.38 ± 0.04	0	84.7 ± 5.4	1.08	90.0 ± 0.6	1.00	6.545
005	NGC5371	11.53	3.30 ± 0.29	0	7.44 ± 0.68	0.19	52.7 ± 2.0	0.99	10.156
006	NGC2955	11.50	0.37 ± 0.06	0.84 ± 0.08	95.3 ± 8.9	0.97	52.7 ± 4.3	0.94	3.906
007	NGC0801	11.49	1.33 ± 0.12	0	33.0 ± 2.0	0.41	79.9 ± 1.0	1.00	7.753
008	ESO563-G021	11.49	0.43 ± 0.04	0	88.0 ± 4.9	1.45	84.0 ± 2.7	1.01	28.836
009	UGC09133	11.45	1.64 ± 0.06	1.10 ± 0.02	36.3 ± 6.9	0.64	45.7 ± 5.4	0.86	6.937
010	UGC02953	11.41	0.61 ± 0.01	0.62 ± 0.01	18.1 ± 1.9	1.10	50.4 ± 3.5	1.01	5.661
011	NGC7331	11.40	0.32 ± 0.02	0.60 ± 0.12	15.7 ± 0.6	1.07	75.3 ± 2.0	1.00	1.289
012	NGC3992	11.36	0.76 ± 0.10	0	21.3 ± 1.7	0.90	55.1 ± 1.9	0.98	3.465
013	NGC6674	11.33	0.95 ± 0.11	1.30 ± 0.45	43.2 ± 6.8	0.84	50.5 ± 5.2	0.94	10.638
014	NGC5985	11.32	0.63 ± 0.10	3.32 ± 0.30	46.7 ± 4.1	1.18	60.3 ± 2.0	1.01	6.974
015	NGC2841	11.27	0.81 ± 0.05	0.93 ± 0.05	15.5 ± 0.6	1.10	81.9 ± 5.2	1.08	1.515
016	IC4202	11.25	1.60 ± 0.19	0.34 ± 0.04	64.4 ± 5.2	0.64	90.0 ± 0.6	1.00	41.908
017	NGC5005	11.25	0.54 ± 0.07	0.56 ± 0.07	16.6 ± 1.3	0.98	67.9 ± 2.0	1.00	0.091
018	NGC5907	11.24	1.08 ± 0.07	0	10.5 ± 0.4	0.61	87.5 ± 1.8	0.99	7.730
019	UGC05253	11.23	0.63 ± 0.05	0.69 ± 0.03	22.5 ± 3.5	0.98	36.8 ± 3.2	1.00	4.747
020	NGC5055	11.18	0.56 ± 0.01	0	9.83 ± 0.30	0.99	43.8 ± 0.9	0.80	7.415
021	NGC2998	11.18	0.82 ± 0.10	0	48.8 ± 3.8	0.72	57.2 ± 2.0	0.99	2.940
022	UGC11914	11.18	0.22 ± 0.03	0.48 ± 0.04	24.0 ± 3.4	1.42	38.4 ± 3.1	1.24	1.731
023	NGC3953	11.15	0.59 ± 0.10	0	16.0 ± 1.8	0.89	61.9 ± 1.0	1.00	3.424
024	UGC12506	11.14	1.12 ± 0.16	0	85.3 ± 6.3	0.85	85.4 ± 3.4	0.99	1.981
025	NGC0891	11.14	0.33 ± 0.02	0.40 ± 0.05	11.4 ± 0.4	1.15	90.0 ± 0.6	1.00	7.368
026	UGC06614	11.09	0.51 ± 0.12	0.50 ± 0.09	88.6 ± 8.8	1.00	32.8 ± 2.6	0.91	1.164
027	UGC02916	11.09	1.57 ± 0.24	0.73 ± 0.06	54.1 ± 7.9	0.83	44.5 ± 4.1	0.89	11.652
028	UGC03205	11.06	0.73 ± 0.06	1.32 ± 0.07	42.5 ± 3.1	0.85	66.2 ± 3.9	0.99	4.196
029	NGC5033	11.04	1.03 ± 0.08	0.43 ± 0.06	12.7 ± 0.5	0.81	65.9 ± 1.0	1.00	8.024
030	NGC4088	11.03	0.40 ± 0.07	0	13.4 ± 1.3	0.74	68.4 ± 2.0	0.99	0.664
031	NGC4157	11.02	0.43 ± 0.06	0.64 ± 0.15	15.7 ± 1.3	0.87	81.7 ± 3.0	1.00	0.720
032	UGC03546	11.01	0.68 ± 0.08	0.51 ± 0.04	25.4 ± 3.4	0.88	54.1 ± 4.5	0.98	0.907
033	UGC06787	10.99	0.45 ± 0.04	0.28 ± 0.01	37.7 ± 1.8	1.77	68.6 ± 2.7	1.04	20.814
034	NGC4051	10.98	0.45 ± 0.09	0	15.3 ± 1.9	0.85	47.1 ± 2.8	0.96	2.491
035	NGC4217	10.93	1.17 ± 0.20	0.17 ± 0.02	18.2 ± 1.5	1.01	86.1 ± 1.9	1.00	3.171
036	NGC3521	10.93	0.46 ± 0.05	0	8.54 ± 0.83	1.11	75.3 ± 4.9	1.00	0.510
037	NGC2903	10.91	0.21 ± 0.01	0	11.0 ± 0.5	1.67	67.6 ± 2.8	1.02	20.637
