# Table 1 and Table A.1 of hayashi2023dark_Astrophys. J. - Dark matter halo properties of the galactic dwarf satellites implication for chemo-dynamical evolution
Galaxy      N_samples  log10L  log10L_d log10L_u b_star b_star_d b_star_u  Q    Q_d   Q_u     log10b log10b_d log10b_u  log10rho0 log10rho0_d log10rho0_u  alpha alpha_d alpha_u  beta beta_d beta_u  gamma gamma_d gamma_u
Antlia_2          283  5.88    0.10     0.10     2867   312      312       1.1  -0.6  +0.6    4.5    -0.3     +0.4      -3.4      -0.4        +0.5         2.0   -0.7    +0.7     6.2  -2.2   +2.0    0.4   -0.3    +0.2
Bootes_I          66   4.33    0.10     0.10     191    8        8         1.1  -0.6  +0.6    3.7    -0.8     +0.9      -1.8      -0.9        +1.2         1.8   -0.8    +0.8     6.3  -2.2   +2.1    0.7   -0.6    +0.5
Canes_Venatici_I  214  5.45    0.02     0.02     452    13       13        1.2  -0.5  +0.6    4.0    -0.7     +0.8      -2.2      -0.7        +1.1         1.9   -0.7    +0.8     6.3  -2.2   +2.1    0.7   -0.5    +0.4
Canes_Venatici_II 25   4.00    0.13     0.13     71     11       11        1.1  -0.6  +0.6    3.7    -0.8     +0.9      -1.8      -1.0        +1.4         1.8   -0.8    +0.8     6.3  -2.2   +2.1    0.8   -0.5    +0.5
Coma_Berenices    59   3.68    0.10     0.10     72     4        4         1.2  -0.5  +0.6    3.6    -0.9     +1.0      -1.1      -0.7        +1.4         1.9   -0.7    +0.8     6.3  -2.2   +2.1    0.5   -0.4    +0.4
Crater_2          141  5.21    0.10     0.10     1066   84       84        0.7  -0.7  +0.4    3.6    -0.6     +0.6      -3.6      -1.0        +0.8         1.6   -0.9    +0.8     6.1  -2.4   +2.1    0.9   -0.5    +0.5
Draco_2           9    3.10    0.40     0.40     19     -6      +8         1.1  -0.6  +0.6    2.1    -1.8     +1.4      -1.9      -2.5        +2.0         1.7   -0.8    +0.8     6.4  -2.2   +2.1    0.9   -0.7    +0.6
Eridanus_II       92   4.82    0.04     0.04     196    19       19        1.2  -0.5  +0.6    3.8    -0.7     +0.8      -2.6      -1.3        +1.2         1.9   -0.8    +0.9     6.3  -2.3   +2.1    1.2   -0.4    +0.6
Grus_1            8    3.32    0.24     0.24     28     23       23        1.1  -0.6  +0.6    3.6    -0.9     +0.9      -2.0      -1.0        +1.2         1.8   -0.8    +0.8     6.3  -2.2   +2.1    0.6   -0.6    +0.4
Grus_2            19   3.33    0.04     0.04     94     9        9         1.1  -0.6  +0.6    1.8    -1.7     +1.1      -1.7      -3.4        +2.0         1.7   -0.8    +0.8     6.5  -2.2   +2.1    1.0   -0.7    +0.6
Hercules          18   4.27    0.07     0.07     216    17       17        1.1  -0.6  +0.6    3.0    -1.2     +1.0      -1.4      -1.6        +1.8         1.8   -0.8    +0.8     6.3  -2.3   +2.1    1.0   -0.6    +0.7
Horologium_I      5    3.35    0.22     0.22     37     7        7         1.1  -0.6  +0.6    2.2    -1.7     +1.1      +0.2      -2.4        +2.3         1.7   -0.8    +0.8     6.4  -2.2   +2.1    1.1   -0.6    +0.7
Hydra_II          13   3.77    0.15     0.15     59     11       11        1.1  -0.6  +0.6    1.4    -1.7     +1.0      -2.5      -2.8        +1.6         1.7   -0.9    +0.8     6.6  -2.1   +2.2    0.8   -0.7    +0.6
Leo_IV            18   3.93    0.10     0.10     114    13       13        1.0  -0.6  +0.6    3.3    -1.1     +1.3      -2.3      -2.0        +1.3         1.8   -0.8    +0.8     6.2  -2.3   +2.1    0.9   -0.7    +0.6
Leo_V             7    3.69    0.14     0.14     49     16       16        1.1  -0.6  +0.6    3.8    -0.8     +0.9      -2.3      -1.0        +1.2         1.9   -0.7    +0.8     6.3  -2.2   +2.1    0.6   -0.6    +0.4
